cust_code,total_visit,total_spend,cust_week,recency,weekly_frequency,weekly_monetory,avg_bastket_size,basket_sen_la,basket_sen_mm,basket_sen_um,basket_sen_xx,customer_sen_la,customer_sen_mm,customer_sen_up,customer_sen_xx,basket_type_ss,basket_type_tu,basket_type_fs,basket_type_xx,basket_dominant_fr,basket_dominant_gr,basket_dominant_mi,basket_dominant_nf,basket_dominant_xx
CUST0000009685,1,0.45999999999999996,64,439,0.015625,0.0071874999999999994,0.45999999999999996,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000133268,1,5.97,64,438,0.015625,0.09328125,5.97,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000229808,1,3.4699999999999998,64,437,0.015625,0.054218749999999996,3.4699999999999998,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000889939,1,4.74,64,440,0.015625,0.0740625,4.74,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000989305,1,0.61,64,439,0.015625,0.00953125,0.61,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CUST0000697258,1,0.27,64,442,0.015625,0.00421875,0.27,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000649557,1,1.88,64,437,0.015625,0.029375,1.88,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000232683,1,11.659999999999998,64,439,0.015625,0.18218749999999997,11.659999999999998,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
CUST0000096342,1,2.41,64,441,0.015625,0.03765625,2.41,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
CUST0000886920,1,1.52,64,436,0.015625,0.02375,1.52,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
CUST0000513613,1,1.0899999999999999,64,439,0.015625,0.017031249999999998,1.0899999999999999,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000406562,1,5.03,64,440,0.015625,0.07859375,5.03,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000360978,1,0.83,64,438,0.015625,0.01296875,0.83,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
